quantity,label,si_unit,required_conditions,vocabulary,vocabulary_version,external_term,external_iri,external_unit,relation,verified,verified_against,note
stack_pressure,Stack pressure,Pa,"['soc_pct', 'constraint_mode']",emmo_battery,0.20.0,Pressure,https://w3id.org/emmo#EMMO_50a44256_9dc5_434b_bad4_74a4d9a29989,,broader,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
standard_charge_current,Standard charge current,A,['temperature_c'],emmo_battery,0.20.0,ChargingCurrent,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_79551e01_4bc6_4292_916e_08fe28a84600,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
state_of_charge,State of charge,1,[],emmo_battery,0.20.0,StateOfCharge,https://w3id.org/emmo/domain/battery#battery_17591da0_34ec_41b9_b3c1_3a4446dc6f0a,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
state_of_health,State of health,1,"['temperature_c', 'rate_value', 'rate_unit']",emmo_battery,0.20.0,StateOfHealth,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_a7a4614f_2426_46f3_8475_cda4a9fabfce,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
storage_temperature_max,Maximum storage temperature,K,['duration_s'],emmo_battery,0.20.0,MaximumStorageTemperature,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_0ea4d188_9701_4699_a5ca_812a98a9afa7,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
storage_temperature_min,Minimum storage temperature,K,['duration_s'],emmo_battery,0.20.0,MinimumStorageTemperature,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_0ddfd57a_d338_4690_be45_b26884ed6302,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
temperature,Temperature,K,[],emmo_battery,0.20.0,CelsiusTemperature,https://w3id.org/emmo#EMMO_66bc9029_f473_45ff_bab9_c3509ff37a22,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,"Stored in kelvin as SI, quoted in Celsius by every source."
thermal_conductivity_in_plane,In-plane thermal conductivity,W/(m*K),['temperature_c'],emmo_battery,0.20.0,ThermalConductivity,https://w3id.org/emmo#EMMO_8dd40ec6_2c5a_43f3_bf64_cadcd447a1c1,,narrower,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
thermal_conductivity_through_plane,Through-plane thermal conductivity,W/(m*K),['temperature_c'],emmo_battery,0.20.0,ThermalConductivity,https://w3id.org/emmo#EMMO_8dd40ec6_2c5a_43f3_bf64_cadcd447a1c1,,narrower,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,EMMO's is scalar; ours is the through-plane component of a tensor (docs/02-conventions.md section 20).
thickness,Thickness,m,[],emmo_battery,0.20.0,Thickness,https://w3id.org/emmo#EMMO_43003c86_9d15_433b_9789_ee2940920656,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
time,Time,s,[],emmo_battery,0.20.0,Time,https://w3id.org/emmo#EMMO_d4f7d378_5e3b_468a_baa1_a7e98358cda7,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
two_theta,2-theta,deg,[],emmo_battery,0.20.0,BraggAngle,https://w3id.org/emmo#EMMO_034bc7dd_a8c2_4ed0_8b51_66ac9b00342f,,close,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
usable_energy,Usable energy,J,"['boundary', 'dod_pct']",emmo_battery,0.20.0,StoredEnergy,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_46376e5d_9627_4514_9881_9e62083625c3,,related,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,Usable energy is the stored energy the boundary and depth of discharge allow out; the boundary condition carries the rest.
voltage,Voltage,V,[],emmo_battery,0.20.0,Voltage,https://w3id.org/emmo#EMMO_17b031fb_4695_49b6_bb69_189ec63df3ee,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
volume,Volume,m3,[],emmo_battery,0.20.0,Volume,https://w3id.org/emmo#EMMO_f1a51559_aa3d_43a0_9327_918039f0dfed,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
width,Width,m,[],emmo_battery,0.20.0,Width,https://w3id.org/emmo#EMMO_e4de48b1_dabb_4490_ac2b_040f926c64f0,,exact,True,https://w3id.org/emmo/domain/battery/0.20.2/battery,
